title,image_url,release_date,key_features,platform,developer,publisher,score,source_url,scraped_at
1Denshattack!,https://static0.polygonimages.com/wordpress/wp-content/uploads/2026/02/ss_4bcc63076e3f637c65c448794b8f40c510af11b1-1920x1080.jpg?w=1600&h=900&fit=crop,2026-02-23,"The elevator pitch ofDenshattack!is enough to sell it instantly: anime game where you cankickflip a train. And it lives up to that elevator pitch instantly too. The demo is brief, covering just a few levels, but rips from the start.Denshattack!takes place in a futuristic version of Japan where citie...",Not Available,Not Available,Not Available,Not Available,https://www.polygon.com/best-steam-next-fest-demos-february-2026/,2026-03-07T08:44:18.637028Z
2Titanium Court,https://static0.polygonimages.com/wordpress/wp-content/uploads/2025/09/consume-me-eating-minigame.jpg?w=1600&h=900&fit=crop,2025-09-24,"I don’t know if I can adequately describeTitanium Courtin a short paragraph. The new game fromConsume Meco-creator AP Thomson is a text adventure, a match-three puzzler, and a strategy game rolled into one. The way-too-easy explanation is that you need to defend a castle from rival castles, all of w...","PC, Steam",Not Available,Not Available,Not Available,https://www.polygon.com/consume-me-review/,2026-03-07T08:44:20.600689Z
3Vampire Crawlers: The Turbo Wildcard from Vampire Survivors,https://static0.polygonimages.com/wordpress/wp-content/uploads/chorus/uploads/chorus_asset/file/23232679/Vampire_Survivors_3.jpg?w=1200&h=675&fit=crop,2022-02-10,"We've seen a lot ofVampire Survivorsimitators since the ""bullet-heaven"" game invented a new genre in 2022, but leave it to its own developer to one-up itself. Poncle's latest game isVampire Crawlers, and it almost looks like a gag game at first glance. It'sVampire Survivorsbut rebuilt as an old-scho...","PC, Steam",Not Available,Not Available,Not Available,https://www.polygon.com/reviews/22927447/vampire-survivors-review-roguelike-bullet-hell-steam-pc-browser-8-bit-characters-power-ups/,2026-03-07T08:44:22.996453Z
4Dosa Divas,https://static0.polygonimages.com/wordpress/wp-content/uploads/2026/02/ss_4bcc63076e3f637c65c448794b8f40c510af11b1-1920x1080.jpg?w=1600&h=900&fit=crop,2026-02-23,Dosa Divasis the latest game fromThirsty SuitorsandFalcon Agedeveloper Outerloop Games. It’s a clear take on the Paper Mario formula — turn-based RPG combined with real-time dodging and attacking — that comes at a moment when a certain other game built on that formula absolutely dominated gaming dis...,Not Available,Not Available,Not Available,Not Available,https://www.polygon.com/best-steam-next-fest-demos-february-2026/,2026-03-07T08:44:23.597656Z
5Australia Did It,https://static0.polygonimages.com/wordpress/wp-content/uploads/sharedimages/2024/12/mixcollage-05-dec-2024-07-46-pm-1862.jpg?w=1200&h=675&fit=crop,Not Available,"Australia Did It, the new game from Rami Ismail and Aesthetician Labs, is a tower defense game with a whole lot of twists. Your goal is to protect a train from all sorts of creepy crawly critters living in the desert it's trying to cross. You protect the vehicle in two phases. The first one has you ...","Steam, Nintendo Switch, PC, PlayStation 4",Not Available,Not Available,Not Available,https://www.polygon.com/game/vampire-survivors/40834/,2026-03-07T08:44:25.850014Z
6Teenage Mutant Ninja Turtles: Empire City,https://static0.polygonimages.com/wordpress/wp-content/uploads/2026/02/ss_4bcc63076e3f637c65c448794b8f40c510af11b1-1920x1080.jpg?w=1600&h=900&fit=crop,2026-02-23,"For a certain person of a certain age,Teenage Mutant Ninja Turtles: Empire Cityis wish fulfillment: a VR game where you’re embodying one of the classic turtles with ninja powers that mutated them into teenagers. Its creator told Polygon in an interview earlier this year thatEmpire Cityis “the ultima...",Not Available,Not Available,Not Available,Not Available,https://www.polygon.com/best-steam-next-fest-demos-february-2026/,2026-03-07T08:44:26.451227Z
7Armatus,https://static0.polygonimages.com/wordpress/wp-content/uploads/chorus/uploads/chorus_asset/file/22048367/Godfall_Screenshot__24_.jpg?w=1600&h=900&fit=crop,2020-11-17,"RememberGodfall? No? Well I do! The glitzy looter-shooter helped kick off this current generation of console games, but there wasn’t much to it beyond flashy visuals. Six years later, developer Counterplay Games is ready to follow that up withArmatus. And as a Godfall naysayer, I’ll be honest: It ki...","PlayStation 5, PC, Steam",Not Available,Not Available,Not Available,https://www.polygon.com/reviews/21570561/godfall-playstation-5-pc-review/,2026-03-07T08:44:28.626422Z
8Damon and Baby,https://static0.polygonimages.com/wordpress/wp-content/uploads/2025/12/damon-and-baby-visual_1920.jpg?w=1600&h=900&fit=crop,2025-12-19,"Damon and Babyis a twin-stick, run-and-gun shooter in the vein ofSmash TVandZombies Ate My Neighbors, with intricately detailed environments, deep customization options, and two-player co-op. The rapid-fire action can seem daunting at first, but moving fast and hitting hard in tight spaces is a perf...","Nintendo Switch, PlayStation 4, PlayStation 5, PC",Not Available,Not Available,Not Available,https://www.polygon.com/damon-and-baby-preview/,2026-03-07T08:44:31.024974Z
9Wax Heads,https://static0.polygonimages.com/wordpress/wp-content/uploads/2026/02/wax-heads-preview-header.jpg?w=1600&h=900&fit=crop,2026-02-19,"Wax Headsis as much of a puzzle game as it is a visual novel, but don't let that put you off. The game simplyoozes charm. If wacky, larger-than-life characters (especially those who love some post-punk or hyperpop music) are your vibe, you'll immediately feel at home. You're the newest employee at R...","PC, Steam",Not Available,Not Available,Not Available,https://www.polygon.com/wax-heads-game-steam-next-fest/,2026-03-07T08:44:33.545815Z
10Zero Parades: For Dead Spies,https://static0.polygonimages.com/wordpress/wp-content/uploads/chorus/uploads/chorus_asset/file/22493762/ar7ec.jpg?w=1600&h=900&fit=crop,2022-10-03,"There’s one reason that you should playZero Paradesduring Steam Next Fest: to actually gain an informed opinion about it. The new CRPG comes from ZA/UM, the studio behindDisco Elysiumthat's been mired in controversy for the past few years after three of the game’s creative leadsunceremoniously parte...",Steam,Not Available,Not Available,Not Available,https://www.polygon.com/23384913/disco-elysium-za-um-writer-artist-designer-departures/,2026-03-07T08:44:36.050289Z
